,elev,long,lat,temp,dstl,mass
235,1643,-105.9,42.8,-32,78.7,326.4265732
236,1643,-105.9,42.8,-32,78.6,325.1838338
237,1643,-105.9,42.8,-32,72.5,255.1968612
238,1643,-105.9,42.8,-32,76.5,299.8096547
239,1643,-105.9,42.8,-32,75.5,288.2054331
240,1643,-105.9,42.8,-32,71.8,247.8760926
241,1643,-105.9,42.8,-32,76.5,299.8096547
242,1643,-105.9,42.8,-32,69.8,227.7338439
243,1643,-105.9,42.8,-32,82.2,371.9433184
244,1643,-105.9,42.8,-32,73,260.5132933
245,1643,-105.9,42.8,-32,87.3,445.5577888
246,1643,-105.9,42.8,-32,60.3,146.8294748
247,1643,-105.9,42.8,-32,78.1,319.0174288
248,1643,-105.9,42.8,-32,72.4,254.1423301
249,1643,-105.9,42.8,-32,75.8,291.6546639
250,1643,-105.9,42.8,-32,74.9,281.3887705
251,1643,-105.9,42.8,-32,75.6,289.3521378
252,1643,-105.9,42.8,-32,67.5,205.9551363
253,1643,-105.9,42.8,-32,58.4,133.3828062
254,1643,-105.9,42.8,-32,75.7,290.50188
255,1643,-105.9,42.8,-32,76.2,296.2962963
256,1643,-105.9,42.8,-32,84,396.9165127
257,1643,-105.9,42.8,-32,71.8,247.8760926
258,1643,-105.9,42.8,-32,71.6,245.8104692
259,1643,-105.9,42.8,-32,74.6,278.0211217
260,1643,-105.9,42.8,-32,71.7,246.8418404
261,1643,-105.9,42.8,-32,72.4,254.1423301
262,1643,-105.9,42.8,-32,72.6,256.2543055
263,1643,-105.9,42.8,-32,71.7,246.8418404
264,1643,-105.9,42.8,-32,69.2,221.9113892
265,1643,-105.9,42.8,-32,80.3,346.7431934
266,1643,-105.9,42.8,-32,62.1,160.3747932
267,1643,-105.9,42.8,-32,70.4,233.6572636
268,1643,-105.9,42.8,-32,60.8,150.5123188
269,1643,-105.9,42.8,-32,79.8,340.3062951
270,1643,-105.9,42.8,-32,65.2,185.6111647
271,1643,-105.9,42.8,-32,62.3,161.9293038
273,1643,-105.9,42.8,-32,79.3,333.9495563
274,1643,-105.9,42.8,-32,78,317.7935781
275,1643,-105.9,42.8,-32,79,330.1737807
276,1643,-105.9,42.8,-32,61,152.002529
277,1643,-105.9,42.8,-32,80.8,353.2607537
285,1295,-107.2,44.7,-31.8,101.9,708.5717946
286,1295,-107.2,44.7,-31.8,94.6,566.9368913
287,1295,-107.2,44.7,-31.8,91.2,507.979076
288,1295,-107.2,44.7,-31.8,92.7,533.4583425
289,1295,-107.2,44.7,-31.8,91.8,518.0710834
290,1295,-107.2,44.7,-31.8,99.5,659.6757979
291,1295,-107.2,44.7,-31.8,103.5,742.4758944
292,1295,-107.2,44.7,-31.8,97,611.1903824
293,1295,-107.2,44.7,-31.8,101,689.9624095
294,1295,-107.2,44.7,-31.8,94,556.2177829
295,1295,-107.2,44.7,-31.8,98.8,645.8507118
296,1295,-107.2,44.7,-31.8,101.6,702.3319616
297,1295,-107.2,44.7,-31.8,85.1,412.7147487
298,1295,-107.2,44.7,-31.8,97.2,614.9787418
299,1295,-107.2,44.7,-31.8,92.5,530.0129818
300,1295,-107.2,44.7,-31.8,95.3,579.6155266
301,148,-84.6,38.9,-31.8,91.6,514.6923696
302,148,-84.6,38.9,-31.8,92,521.4645513
303,148,-84.6,38.9,-31.8,82.3,373.3024278
304,148,-84.6,38.9,-31.8,101.1,692.0138326
305,148,-84.6,38.9,-31.8,86.7,436.4340248
306,148,-84.6,38.9,-31.8,93.2,542.1369971
307,148,-84.6,38.9,-31.8,107.2,824.9842642
308,148,-84.6,38.9,-31.8,86.3,430.4212416
309,148,-84.6,38.9,-31.8,93.1,540.3937926
310,148,-84.6,38.9,-31.8,106.3,804.379701
311,148,-84.6,38.9,-31.8,90.1,489.8190614
312,148,-84.6,38.9,-31.8,89.7,483.3243081
313,148,-84.6,38.9,-31.8,88.3,461.0451094
314,148,-84.6,38.9,-31.8,89.6,481.7096403
315,148,-84.6,38.9,-31.8,91.4,511.3283779
316,148,-84.6,38.9,-31.8,89.4,478.491101
317,148,-84.6,38.9,-31.8,94.2,559.7756684
318,148,-84.6,38.9,-31.8,92.3,526.5824877
319,148,-84.6,38.9,-31.8,95.4,581.4420448
320,148,-84.6,38.9,-31.8,94.7,568.7366896
321,148,-84.6,38.9,-31.8,89.9,486.5644604
322,148,-84.6,38.9,-31.8,97.7,624.5180572
323,148,-84.6,38.9,-31.8,93.2,542.1369971
324,148,-84.6,38.9,-31.8,95.7,586.9446145
325,148,-84.6,38.9,-31.8,98.3,636.0948249
326,148,-84.6,38.9,-31.8,94.1,557.9948352
327,148,-84.6,38.9,-31.8,94.4,563.3486938
328,148,-84.6,38.9,-31.8,105.3,781.8913748
329,300,-98,30.9,-31.8,97,611.1903824
355,1147,-106.3,44.7,-29.7,95,574.1589311
356,1147,-106.3,44.7,-29.7,95.9,590.6322139
357,1147,-106.3,44.7,-29.7,96.2,596.1925227
358,1147,-106.3,44.7,-29.7,91.5,513.0085355
359,1147,-106.3,44.7,-29.7,91.1,506.3099238
360,1147,-106.3,44.7,-29.7,97.1,613.0826113
361,1147,-106.3,44.7,-29.7,95.4,581.4420448
362,1147,-106.3,44.7,-29.7,91.8,518.0710834
363,1147,-106.3,44.7,-29.7,92.5,530.0129818
364,1147,-106.3,44.7,-29.7,94.3,561.5602866
365,1147,-106.3,44.7,-29.7,101.7,704.4078183
366,1370,-107.2,44.7,-30.7,106.2,802.1117145
367,1370,-107.2,44.7,-30.7,98.4,638.0380868
368,1370,-107.2,44.7,-30.7,103.5,742.4758944
369,1370,-107.2,44.7,-30.7,99.3,655.7058439
370,1370,-107.2,44.7,-30.7,90.2,491.4517902
371,1370,-107.2,44.7,-30.7,98.1,632.2201463
372,1370,-107.2,44.7,-30.7,95.7,586.9446145
373,1370,-107.2,44.7,-30.7,103.8,748.9509386
374,1370,-107.2,44.7,-30.7,104.1,755.4635191
375,1370,-107.2,44.7,-30.7,103.2,736.0382781
376,1370,-107.2,44.7,-30.7,105.1,777.4446099
377,1370,-107.2,44.7,-30.7,95.2,577.7928376
378,1370,-107.2,44.7,-30.7,110.4,901.0907447
379,1370,-107.2,44.7,-30.7,103.6,744.6300784
380,1370,-107.2,44.7,-30.7,97.4,618.7827232
381,1370,-107.2,44.7,-30.7,97.7,624.5180572
382,1370,-107.2,44.7,-30.7,100.8,685.8717339
383,1370,-107.2,44.7,-30.7,93.5,547.3890953
384,1370,-107.2,44.7,-30.7,92.8,535.1866079
385,1370,-107.2,44.7,-30.7,86.3,430.4212416
386,1370,-107.2,44.7,-30.7,97.9,628.3612345
387,1370,-107.2,44.7,-30.7,95.7,586.9446145
388,1370,-107.2,44.7,-30.7,97.9,628.3612345
389,1370,-107.2,44.7,-30.7,94.7,568.7366896
390,1370,-107.2,44.7,-30.7,96.2,596.1925227
391,1370,-107.2,44.7,-30.7,93.4,545.6346444
392,1370,-107.2,44.7,-30.7,93.3,543.8839463
393,1370,-107.2,44.7,-30.7,98.9,647.8137826
394,1370,-107.2,44.7,-30.7,98.4,638.0380868
395,1370,-107.2,44.7,-30.7,95.8,588.7864896
396,1370,-107.2,44.7,-30.7,102.2,714.848477
397,1370,-107.2,44.7,-30.7,96.7,605.5370644
398,1370,-107.2,44.7,-30.7,90.8,501.3244135
399,1370,-107.2,44.7,-30.7,93.8,552.6750051
400,1370,-107.2,44.7,-30.7,107,820.3754243
401,1370,-107.2,44.7,-30.7,106.8,815.7837815
402,1370,-107.2,44.7,-30.7,94.7,568.7366896
403,1370,-107.2,44.7,-30.7,95.1,575.9739738
404,1370,-107.2,44.7,-30.7,100.3,675.7158527
405,1370,-107.2,44.7,-30.7,96.8,607.4176129
406,1370,-107.2,44.7,-30.7,85.7,421.5060131
407,1370,-107.2,44.7,-30.7,102.6,723.2748954
408,1370,-107.2,44.7,-30.7,102.7,725.3917962
409,1370,-107.2,44.7,-30.7,106.1,799.8479951
410,1370,-107.2,44.7,-30.7,94.6,566.9368913
411,1370,-107.2,44.7,-30.7,98.1,632.2201463
412,1370,-107.2,44.7,-30.7,99.4,657.688824
413,1370,-107.2,44.7,-30.7,89.9,486.5644604
414,1370,-107.2,44.7,-30.7,95.7,586.9446145
415,1370,-107.2,44.7,-30.7,96.7,605.5370644
416,1370,-107.2,44.7,-30.7,95.8,588.7864896
417,1370,-107.2,44.7,-30.7,102.7,725.3917962
418,1370,-107.2,44.7,-30.7,103.1,733.9007046
419,1370,-107.2,44.7,-30.7,94.8,570.540293
420,399,-101.6,29.8,-31,88,456.3618429
421,399,-101.6,29.8,-31,91.5,513.0085355
422,399,-101.6,29.8,-31,95.8,588.7864896
423,399,-101.6,29.8,-31,95.7,586.9446145
424,399,-101.6,29.8,-31,94.6,566.9368913
425,399,-101.6,29.8,-31,94.3,561.5602866
426,399,-101.6,29.8,-31,93.1,540.3937926
427,399,-101.6,29.8,-31,95.5,583.2723961
428,399,-101.6,29.8,-31,99.1,651.7518495
430,399,-101.6,29.8,-31,99.8,665.6607235
431,399,-101.6,29.8,-31,86.4,431.919226
432,399,-101.6,29.8,-31,96.5,601.7876195
433,399,-101.6,29.8,-31,87.5,448.6270624
434,399,-101.6,29.8,-31,83.7,392.6790058
435,399,-101.6,29.8,-31,95.5,583.2723961
436,399,-101.6,29.8,-31,95,574.1589311
438,399,-101.6,29.8,-31,84.5,404.0465805
439,399,-101.6,29.8,-31,87.4,447.0906697
440,399,-101.6,29.8,-31,81.5,362.5218061
441,399,-101.6,29.8,-31,95.9,590.6322139
443,399,-101.6,29.8,-31,101,689.9624095
444,399,-101.6,29.8,-31,97.5,620.6905823
445,399,-101.6,29.8,-31,79.8,340.3062951
446,399,-101.6,29.8,-31,83.6,391.2732351
460,973,-101.9,33.6,-30.9,91,504.6444319
461,1677,-104.3,44.3,-31.1,92.5,530.0129818
