Collection/Population Locality,SpecimenNumber,Notes,IntCal13 (CAL BP),C14 years BP,Cal Age (ka),Age Error,Age bound (lower),Age bound (upper),Lat,Long,Elevation (ASL) m,GISP2 Temp (IntCal13),Temp Err (lower),Temp Err (upper),Temp err,Genus,Species,SpeciesID,GL,DstL,DstBr,DstDp,GBr,GDp
12 Mile Creek,112925,,12470,10504,12470,37,12433,12507,38.8,-101,845,-48.3,-47.7,-48.2,0.5,Bison,antiquus,2,185,117,53,55,,73
Lindenmeier,1936,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,167,106.2,,,,62
Lindenmeier,1936,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,162,104,,,,66
Lindenmeier,1936,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,182,117.8,50,,,75
Lindenmeier,?,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,187,122.9,,51,68,70
Lindenmeier,?,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,184,118.3,,,,69
Lindenmeier,?,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,181,118,,49,,70
Lindenmeier,4A,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,189,123.2,,55,66,74
Lindenmeier,5A,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,192,123.6,,51,68,72
Lindenmeier,5B,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,160,106.1,37,41,55,61
Lindenmeier,PIT,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,165,108.6,41,43,55,61
Lindenmeier,PIT,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,184,120.2,,,,65
Lindenmeier,PIT,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,185,119,,,,69
Lindenmeier,PIT,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,179,113.7,,47,63,65
Lindenmeier,PIT,Average of 3 dates,12555,10569,12555,29,12526,12584,40.9,-105,1716,-48.4,-48.2,-48.4,0.2,Bison,antiquus,2,181,116.6,,48,65,69
Lipscomb,16103-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,160,105.8,41,44,48,63
Lipscomb,16131-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,172,116.1,45,46,60,68
Lipscomb,16135-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,163,112,41,44,,64
Lipscomb,16135-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,162,110.9,42,44,,64
Lipscomb,16135-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,174,116.9,43,45,47,67
Lipscomb,16145-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,106,43,45,,
Lipscomb,16150-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,157,105.1,40,41,52,60
Lipscomb,16155-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,,,40,53,62
Lipscomb,16155-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,162,103.7,42,41,57,67
Lipscomb,16174-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,170,114.6,,44,56,65
Lipscomb,16180-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,158,103.2,42,41,55,63
Lipscomb,16182-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,167,110,42,44,,64
Lipscomb,16229-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,104.5,39,40,,
Lipscomb,16230-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,166,107.2,42,43,55,68
Lipscomb,16243-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,107.7,41,40,54,62
Lipscomb,16268-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,117.7,51,48,69,71
Lipscomb,16278-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,101.7,44,43,,
Lipscomb,16278-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,126.5,48,48,,
Lipscomb,16353-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,116.6,47,48,,
Lipscomb,16487-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,152,98.6,40,41,54,60
Lipscomb,16498-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,161,105.4,41,40,55,64
Lipscomb,16565-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,180,121.1,50,50,,73
Lipscomb,16585-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,108.4,41,43,,
Lipscomb,16585-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,154,102.7,40,40,51,58
Lipscomb,16585-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,107.1,41,42,,
Lipscomb,16585-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,106.7,43,42,,
Lipscomb,16667-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,151,99.8,41,44,,
Lipscomb,16667-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,160,107,41,41,53,62
Lipscomb,16667-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,188,124.2,51,55,68,72
Lipscomb,16796-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,110.3,43,44,57,69
Lipscomb,16802-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,154,98.5,40,42,55,62
Lipscomb,16817-39,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,166,108.5,42,41,55,63
Lipscomb,A,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,163,103.6,44,44,58,63
Lipscomb,AAA,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,110.2,44,44,,
Lipscomb,,,12715,10820,12715,26,12689,12741,36.1,-100.4,830,-50.1,-49.8,-50.1,0.4,Bison,antiquus,2,,107.5,40,43,55,
Folsom,AMNH-130402,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,188,125,,56,,
Folsom,AMNH-130403,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,162,99,42,42,54,63
Folsom,AMNH-130437,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,,104,43,43,,
Folsom,AMNH-130438,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,163,102,41,46,56,64
Folsom,AMNH-130463,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,166,107,46,47,58,67
Folsom,AMNH-130715,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,165,103,40,43,54,63
Folsom,AMNH-130773,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,,104,40,43,,
Folsom,AMNH-130980,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,180,112,49,50,64,69
Folsom,AMNH-131257,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,184,116,52,58,70,75
Folsom,AMNH-131415,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,175,108,50,53,67,71
Folsom,AMNH-131485,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,189,120,50,54,69,79
Folsom,AMNH-131736,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,168,111,42,44,55,64
Folsom,DMNS-7590,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,183,,49.5,55,67,
Folsom,DMNS-7591,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,171,115,43,46.5,57.5,68
Folsom,DMNS-7596,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,,121.5,52,49.5,,
Folsom,DMNS-7698,Average of 7 dates,12735,10891,12735,21,12714,12756,36.8,-103.9,1972,-50.1,-50.1,-49.5,0.6,Bison,antiquus,2,177,114,48,50,62,77.5
La Brea-Pit 81,Y1146,,12760,10940,12760,22,12738,12782,34.1,-118.4,54,-49.5,-50.1,-49.5,0.6,Bison,antiquus,2,161,107.2,44,,56,69
Mill Iron,3037,Average of 9 dates,12985,11076,12985,72,12913,13057,45.9,-104.2,941,-42.1,-48,-41.6,6.5,Bison,antiquus,2,,103.2,40,42,,
Mill Iron,L13-16-130,Average of 9 dates,12985,11077,12985,72,12913,13057,45.9,-104.2,941,-42.1,-48,-41.6,6.5,Bison,antiquus,2,157,104,,,54,65
Mill Iron,L13-23-158,Average of 9 dates,12985,11078,12985,72,12913,13057,45.9,-104.2,941,-42.1,-48,-41.6,6.5,Bison,antiquus,2,163,105.9,,45,55,64
Mill Iron,L13-25-49,Average of 9 dates,12985,11079,12985,72,12913,13057,45.9,-104.2,941,-42.1,-48,-41.6,6.5,Bison,antiquus,2,162,106.7,42,44,56,64
Mill Iron,M14-10-110,Average of 9 dates,12985,11080,12985,72,12913,13057,45.9,-104.2,941,-42.1,-48,-41.6,6.5,Bison,antiquus,2,156,105.4,,,,62
Black Water Draw-Brown Sand  Station B,937-167,Estimate,13080,11220,13080,21,13059,13101,34.3,-103.3,1253,-41.9,-41.6,-41.9,0.4,Bison,antiquus,2,179,120,51,53,65,69
Black Water Draw-Brown Sand  Station B,937-168,Estimate,13080,11220,13080,21,13059,13101,34.3,-103.3,1253,-41.9,-41.6,-41.9,0.4,Bison,antiquus,2,163,111,,,54,66
La Brea-Pit 61/67,Y1006,Average of 5 dates,13470,11665,13470,21,13449,13491,34.1,-118.4,54,-39.1,-39.6,-39.6,0,Bison,antiquus,2,162,103.6,42,45,54,64
La Brea-Pit 61/67,Y1009,Average of 5 dates,13470,11665,13470,21,13449,13491,34.1,-118.4,54,-39.1,-39.6,-39.6,0,Bison,antiquus,2,182,118.2,46,52,62,69
La Brea-Pit 61/67,Y989,Average of 5 dates,13470,11665,13470,21,13449,13491,34.1,-118.4,54,-39.1,-39.6,-39.6,0,Bison,antiquus,2,171,112.8,47,47,60,64
La Brea-Pit 61/67,Y993,Average of 5 dates,13470,11665,13470,21,13449,13491,34.1,-118.4,54,-39.1,-39.6,-39.6,0,Bison,antiquus,2,173,112.7,49,47,61,68
Black Water Draw-Gray Sand,937-525,Estimate,14130,12250,14130,17,14113,14147,34.3,-103.3,1253,-41.6,-41.6,-40.3,1.3,Bison,antiquus,2,180,115,,52,,69
Black Water Draw-Gray Sand,937-616,Estimate,14130,12250,14130,17,14113,14147,34.3,-103.3,1253,-41.6,-41.6,-40.3,1.3,Bison,antiquus,2,170,111,46,47,59,67
Black Water Draw-Gray Sand,937-882,Estimate,14130,12250,14130,17,14113,14147,34.3,-103.3,1253,-41.6,-41.6,-40.3,1.3,Bison,antiquus,2,173,116,50,53,,71
LACMHC,Y1135,Estimate,15030,12603,15030,16,15014,15046,34.1,-118.4,54,-45.1,-45.1,-45.2,0.1,Bison,antiquus,2,167.2,110.5,43.3,49.5,56.4,68.2
LACMHC,Y1136,Estimate,15030,12603,15030,16,15014,15046,34.1,-118.4,54,-45.1,-45.1,-45.2,0.1,Bison,antiquus,2,191.6,125,55.2,53.2,67.8,
La Brea-Pit 3 upper,Y1001,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,175,116.8,46,50,60,66
La Brea-Pit 3 upper,Y1002,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,179,114.7,51,53,67,73
La Brea-Pit 3 upper,Y1005,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,155,100.6,42,43,54,62
La Brea-Pit 3 upper,Y1008,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,167,110.9,,,,71
La Brea-Pit 3 upper,Y1011,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,178,117.1,49,51,64,71
La Brea-Pit 3 upper,Y1012,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,164,107,46,48,59,63
La Brea-Pit 3 upper,Y1016,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,179,117.6,54,54,63,73
La Brea-Pit 3 upper,Y1018,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,173,113.1,50,51,62,74
La Brea-Pit 3 upper,Y1021,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,172,110.9,48,48,57,69
La Brea-Pit 3 upper,Y1023,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,168,108.3,45,47,58,68
La Brea-Pit 3 upper,Y1145,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,,112.1,46,48,,
La Brea-Pit 3 upper,Y1149,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,173,,,,59,69
La Brea-Pit 3 upper,Y985,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,170,111.7,46,50,60,63
La Brea-Pit 3 upper,Y986,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,168,111.5,44,48,59,66
La Brea-Pit 3 upper,Y988,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,171,111.3,44,49,58,67
La Brea-Pit 3 upper,Y991,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,185,119.2,48,54,67,75
La Brea-Pit 3 upper,Y992,Average of 8 dates,16280,13540,16280,13,16267,16293,34.1,-118.4,54,-46.2,-45.7,-46.2,0.5,Bison,antiquus,2,175,114.7,49,50,62,70
LACMHC,Y1116,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,186.3,121.7,56.8,62.3,69.7,79.1
LACMHC,Y1117,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,171.1,112.4,43.5,49.8,58.9,69.7
LACMHC,Y1119,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,,,47.8,49.1,59.9,70
LACMHC,Y1126,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,172.3,111.5,45.6,47.3,59,
LACMHC,Y1130,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,180.6,116.3,51.5,50.5,63.7,75.2
LACMHC,Y1133,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,164.7,107.6,47.7,48,59.5,68.1
LACMHC,Y1141,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,170.8,110.9,48.5,46.8,57.3,71.7
LACMHC,Y1143,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,176,115.5,44.5,49.7,56.2,69.5
LACMHC,Y1144,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,174.5,117.6,50.9,52.1,65.9,73.3
LACMHC,Y1147,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,184.1,119.2,48.9,49.9,66.9,74
LACMHC,Y1151,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,169.3,110.4,46.3,45.8,61.4,71.2
LACMHC,Y1153,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,173.7,118.2,49,47.3,63.1,73
LACMHC,Y1154,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,176.4,109.3,44.5,46.4,60.9,69.7
LACMHC,Y1158,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,167.4,108.5,44.8,47.7,59.4,70.2
LACMHC,Y1159,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,178.4,119.1,48.2,48.2,59.3,71.9
LACMHC,Y1160,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,173.5,110.8,46.8,51.4,62.1,74.1
LACMHC,Y1161,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,172,111.1,45.1,41.9,61.5,68
LACMHC,Y1113,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,171.8,115.4,46.2,46.2,57.8,69.7
LACMHC,Y1118,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,203.3,135.7,54.9,57.8,67.9,75.8
LACMHC,Y1120,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,173.3,108.9,45.3,51.2,56.7,65.1
LACMHC,Y1122,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,162.8,105.4,43.9,46.1,56.9,63.3
LACMHC,Y1123,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,174.4,112.8,44,47.2,55.5,69.3
LACMHC,Y1125,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,171.6,113.9,43.4,44.5,58.7,68.7
LACMHC,Y1129,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,,,,55,61.7,74.9
LACMHC,Y1131,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,179.9,118.7,47.5,51.6,64.7,68.8
LACMHC,Y1132,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,172.3,112.3,44.5,48,59.6,70.4
LACMHC,Y1134,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,170.5,110.9,48.6,48.9,60.5,67.4
LACMHC,Y1137,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,168.2,110.6,44.2,44.7,54.8,68
LACMHC,Y1138,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,163,107.6,42.1,45.2,54.4,66
LACMHC,Y1139,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,171.3,110.7,46,47.8,59.2,68.1
LACMHC,Y1140,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,172.5,112.8,47,47.1,59.4,69.9
LACMHC,Y1148,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,174.7,115.4,44.7,48,59.1,66.4
LACMHC,Y1150,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,178.5,116.5,45.9,48.7,61.7,71
LACMHC,Y1152,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,163.9,105.3,47.2,45.4,57.3,66.9
LACMHC,Y1157,Estimate,17230,14173,17230,15,17215,17245,34.1,-118.4,54,-47.8,-47.8,-45.8,2,Bison,antiquus,2,179.1,118.9,50.5,56.9,61.8,74.6
La Brea-Pit 13,Y1000,Average of 4 dates,17990,14805,17990,15,17975,18005,34.1,-118.4,54,-43.3,-43.3,-43.3,0,Bison,antiquus,2,167,110.7,44,47,56,63
La Brea-Pit 13,Y1013,Average of 4 dates,17990,14805,17990,15,17975,18005,34.1,-118.4,54,-43.3,-43.3,-43.3,0,Bison,antiquus,2,189,123.8,48,54,62,70
La Brea-Pit 13,Y1019,Average of 4 dates,17990,14805,17990,15,17975,18005,34.1,-118.4,54,-43.3,-43.3,-43.3,0,Bison,antiquus,2,167,110.5,42,44,53,63
La Brea-Pit 13,Y1110,Average of 4 dates,17990,14805,17990,15,17975,18005,34.1,-118.4,54,-43.3,-43.3,-43.3,0,Bison,antiquus,2,173,114.3,45,50,56,67
La Brea-Pit 13,Y1112,Average of 4 dates,17990,14805,17990,15,17975,18005,34.1,-118.4,54,-43.3,-43.3,-43.3,0,Bison,antiquus,2,,123.7,50,54,64,70
La Brea-Pit 13,Y1142,Average of 4 dates,17990,14805,17990,15,17975,18005,34.1,-118.4,54,-43.3,-43.3,-43.3,0,Bison,antiquus,2,165,109.6,44,46,55,64
La Brea-Pit 13,Y996,Average of 4 dates,17990,14805,17990,15,17975,18005,34.1,-118.4,54,-43.3,-43.3,-43.3,0,Bison,antiquus,2,170,113,43,47,56,64
La Brea-Pit 3 Lower,Y1003,Average of 4 dates,24430,20350,24430,13,24417,24443,34.1,-118.4,54,-49.6,-49.6,-49.6,0,Bison,antiquus,2,175,113.3,49,53,61,73
La Brea-Pit 3 Lower,Y995,Average of 4 dates,24430,20350,24430,13,24417,24443,34.1,-118.4,54,-49.6,-49.6,-49.6,0,Bison,antiquus,2,177,115.3,49,49,64,66
La Brea-Pit 91,R29818,Average of 6 dates,33340,29050,33340,11,33329,33351,34.1,-118.4,54,-43.1,-43.1,-43.1,0,Bison,antiquus,2,170,110.1,45,47,59,69
La Brea-Pit 91,R36960,Average of 6 dates,33340,29050,33340,11,33329,33351,34.1,-118.4,54,-43.1,-43.1,-43.1,0,Bison,antiquus,2,175,114.6,55,52,68,65
La Brea-Pit 91,R37122,Average of 6 dates,33340,29050,33340,11,33329,33351,34.1,-118.4,54,-43.1,-43.1,-43.1,0,Bison,antiquus,2,180,121.3,45,47,57,65
La Brea-Pit 91,R39218,Average of 6 dates,33340,29050,33340,11,33329,33351,34.1,-118.4,54,-43.1,-43.1,-43.1,0,Bison,antiquus,2,171,111.9,45,46,57,66
La Brea-Pit 77,Y1024,Average of 3 dates,34600,30650,34600,15,34585,34615,34.1,-118.4,54,-45.8,-45.8,-45.8,0,Bison,antiquus,2,186,121,50,51,65,70
La Brea-Pit 77,Y1026,Average of 3 dates,34600,30650,34600,15,34585,34615,34.1,-118.4,54,-45.8,-45.8,-45.8,0,Bison,antiquus,2,168,109.3,41,44,58,
La Brea-Pit 77,Y1128,Average of 3 dates,34600,30650,34600,15,34585,34615,34.1,-118.4,54,-45.8,-45.8,-45.8,0,Bison,antiquus,2,,,44,,57,62
